model,mass_parameter,parameter,source_column,weighted_pearson_r
base_mnu,mnu,H0,H0,-0.3078148993112527
base_mnu,mnu,Omega_m,omegam,0.25315536718818005
base_mnu,mnu,logA,logA,0.17703330995716213
base_mnu,mnu,A_s,As,0.177439667039821
base_mnu,mnu,tau,tau,0.1564082107217238
base_mnu059,mnu,H0,H0,-0.23866562822986673
base_mnu059,mnu,Omega_m,omegam,0.17779482249928943
base_mnu059,mnu,logA,logA,0.16796699165001358
base_mnu059,mnu,A_s,As,0.1683882903359774
base_mnu059,mnu,tau,tau,0.14737728886374737
base_mnu_w_wa,mnu,H0,H0,-0.2659748358985527
base_mnu_w_wa,mnu,Omega_m,omegam,0.30346933043967556
base_mnu_w_wa,mnu,w0,w,0.32175868746633085
base_mnu_w_wa,mnu,wa,wa,-0.4178662737248781
base_mnu_w_wa,mnu,logA,logA,0.30967608828945525
base_mnu_w_wa,mnu,A_s,As,0.3102598168633673
base_mnu_w_wa,mnu,tau,tau,0.24338416354564288
